GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		atan_tmp
89.38000000		89.34923285		0.43902327		0		0.05555781		-0.03125262		0.05572927
89.63664000		89.53007102		0.32102421		0		0.05286808		-0.18035523		0.05305752
89.25213000		89.25464954		0.35145144		0		-0.01065220		-0.43625507		0.04129973
89.25213000		89.26145030		0.35825221		-3		-0.23181285		-0.06619161		0.04470647
89.37961000		89.42352831		0.40274070		0		0.00688102		0.08864379		0.05194602
89.13149000		89.17578931		0.45156684		-7		-0.47464984		-0.50993723		0.05282143
89.56705000		89.58399062		0.54291338		3		0.08058554		-0.06870102		0.02568141
89.23210000		89.18036144		0.53306822		-500		nan		-0.06749620		0.01873531
89.71605000		89.70664389		0.46581830		-500		nan		0.48254402		0.00800289
89.27878000		89.37920714		0.82066611		5		0.32289058		-0.22231430		0.00721166
89.27878000		89.77586840		1.21732736		0		0.01325833		0.18612125		0.00645677
89.83746000		89.73453588		1.11287573		-500		nan		0.15098456		0.00023894
91.13115000		91.44832961		1.43896589		-500		nan		1.94510767		-0.06876276
89.31703000		90.23798277		2.48998753		8		0.33277645		0.72532045		-0.04372546
90.59792000		91.00750095		3.18678399		18		1.11914851		1.55334966		-0.07891643
93.55032000		94.35715316		4.35020042		51		3.08877273		5.01153352		-0.16789263
91.60455000		92.23451734		5.89448624		68		4.10161261		2.96292438		-0.20913648
96.40790000		96.76444021		7.00938598		79		1.87409494		7.72694164		-0.41196051
96.40790000		97.19689955		7.44184533		119		7.18864937		8.25497680		-0.50769432
97.17206000		97.43411268		7.67905845		141		8.50150539		8.74279048		-0.72321831
97.07269000		96.99733794		7.59552074		144		8.67852131		8.61296174		-0.99056932
96.10375000		95.73986494		7.12414211		127		7.67185298		7.04878623		-1.30876283
96.89185000		96.55129777		6.73691556		131		3.26334341		8.13008011		-1.57731063
94.40553000		94.13779867		6.31593207		115		6.93465458		5.71481744		-1.57688484
96.78698000		96.58798430		5.83135170		110		6.60100805		8.23222618		-1.64407239
92.72730000		92.71326741		5.50412915		132		7.74409627		4.36744442		-1.65414285
92.72730000		92.37656016		5.16742190		76		4.59829551		4.04959223		-1.67295972
